JAIL ID,ARREST DT,charges,warrants_filed_by,RACE,SEX,RELEASE DT,ARREST YEAR,days_served
55,2005-08-08 00:00:00,"[FAILURE TO APPEAR, SPEEDING, DRIVING-WHILE LIC INVALID]","[PAPD, PAPD, PAPD]",W,M,2005-08-08,2005,0.0
55,2006-03-18 00:00:00,"[FAILURE TO APPEAR, FAILURE TO APPEAR, DRIVING-NO DRIVERS LICENSE, SPEEDING]","[PAPD, PAPD, PAPD, PAPD]",W,M,2006-03-18,2006,0.0
99,2009-04-19 00:00:00,"[STOP LIGHT- RUNNING, FAILURE TO APPEAR]","[PAPD, PAPD]",B,M,2009-04-22,2009,3.0
246,2006-01-29 00:00:00,"[FAILURE TO APPEAR, SPEEDING]","[PAPD, PAPD]",B,M,2006-01-29,2006,0.0
540,2015-06-23 00:00:00,"[DRIVING-NO DRIVERS LICENSE, SPEEDING, FAILURE TO APPEAR]","[PAPD, PAPD, PAPD]",B,M,2015-06-24,2015,1.0
1433,2006-08-24 00:00:00,"[DRIVING-NO DRIVERS LICENSE, NO LIABILITY INSURANCE]","[PAPD, PAPD]",B,M,2006-08-25,2006,1.0
1602,2011-05-08 00:00:00,[DEFECTIVE EQUIPMENT],[PAPD],W,M,2011-05-12,2011,4.0
1794,2009-03-05 00:00:00,"[FAILURE TO APPEAR, DRIVING-NO DRIVERS LICENSE, STOP LIGHT- RUNNING, FAILURE TO MNTN FINAN RESP]","[PAPD, PAPD, PAPD, PAPD]",B,M,2009-03-11,2009,6.0
1821,2009-04-03 00:00:00,"[FAILURE TO APPEAR, FAILURE TO MNTN FINAN RESP, FAILURE TO APPEAR]","[PAPD, PAPD, PAPD]",W,M,2009-04-08,2009,5.0
2270,2014-10-31 00:00:00,"[FAILURE TO APPEAR, DRIVING-WHILE LIC EXPIRED, FAILURE TO APPEAR, SPEEDING, FAILURE TO APPEAR]","[PAPD, PAPD, PAPD, PAPD, PAPD]",B,M,2014-11-04,2014,4.0
3570,2005-04-17 00:00:00,"[FAILURE TO APPEAR, TRAF OFF-MOVING-NO SEATBELT, SPEEDING, DRIVING-EXPIRED LIC. PLATE]","[PAPD, PAPD, PAPD, PAPD]",B,M,2005-04-18,2005,1.0
3570,2010-12-02 00:00:00,"[FAILURE TO APPEAR, SPEEDING, DRIVING-NO DRIVERS LICENSE, DRIVING-NO MVI STICKER, DRIVING-WHILE LIC EXPIRED]","[PAPD, PAPD, PAPD, PAPD, PAPD]",B,M,2010-12-08,2010,6.0
4838,2010-09-17 00:00:00,"[FAILURE TO APPEAR, TRAFFIC OFFENSE-MOVING]","[PAPD, PAPD]",B,M,2010-09-22,2010,5.0
5490,2011-08-20 00:00:00,[SPEEDING],[PAPD],B,F,2011-08-21,2011,1.0
5490,2015-01-27 00:00:00,"[SPEEDING, FAILURE TO APPEAR]","[PAPD, PAPD]",B,F,2015-01-30,2015,3.0
5843,2011-12-31 00:00:00,"[FAILURE TO APPEAR, SPEEDING]","[PAPD, PAPD]",B,M,2012-01-05,2011,5.0
5874,2007-02-02 00:00:00,"[FAILURE TO APPEAR, TRAF OFF-MOVING-NO SEATBELT, VEH-LICENSE PLATE OFFENSE]","[PAPD, PAPD, PAPD]",B,M,2007-02-02,2007,0.0
5874,2009-08-02 00:00:00,"[FAILURE TO APPEAR, FAILURE TO APPEAR, FAILURE TO APPEAR, FAILURE TO SIGNAL, DRIVING-NO MVI STICKER, DRIVING-EXPIRED LIC. PLATE, FAILURE TO MNTN FINAN RESP, DRIVING-EXPIRED LIC. PLATE, FAILURE TO APPEAR, DRIVING-WHILE LIC EXPIRED]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",B,M,2009-08-03,2009,1.0
